NOM,NOM_ALPHA,CODE,ARTICLE,NOM_LONG,CAPITALE,CONTINENT,SUBTHEME,THEME,THEME_LEVEL,CATEGORY,QUIZZ_ordering,FLAG,,,,,,,,,
Tunisie,Tunisie,TUN,la,République tunisienne,Tunis,Afrique,Afrique,geography,1,Capitales,5,tunisie,,,,,,,,,tunisie
Turkménistan,Turkménistan,TKM,le,Turkménistan,Achgabat,Asie,Asie,geography,1,Capitales,4,turkmenistan,,,,,,,,,turkmenistan
Turquie,Turquie,TUR,la,République de Turquie,Ankara,Asie,Asie,geography,1,Capitales,4,turquie,,,,,,,,,turquie
Tuvalu,Tuvalu,TUV,les,Tuvalu,Vaiaku,Oceanie,Iles Pacifiques,geography,2,Capitales,2,tuvalu,,,,,,,,,tuvalu
Ukraine,Ukraine,UKR,l',Ukraine,Kiev,Europe,Europe,geography,1,Capitales,4,ukraine,,,,,,,,,ukraine
Uruguay,Uruguay,URY,l',République orientale de l'Uruguay,Montévidéo,Amerique,Amérique,geography,1,Capitales,2,uruguay,,,,,,,,,uruguay
Vanuatu,Vanuatu,VUT,le,République du Vanuatu,Port-Vila,Oceanie,Iles Pacifiques,geography,2,Capitales,2,vanuatu,,,,,,,,,vanuatu
Vatican,Vatican,VAT,le,Vatican (Saint-Siège),Vatican,Europe,Europe,geography,1,Capitales,4,vatican,,,,,,,,,vatican
Vénézuéla,Vénézuéla,VEN,le,République bolivarienne du Vénézuéla,Caracas,Amerique,Amérique,geography,1,Capitales,2,venezuela,,,,,,,,,venezuela
Vietnam,Vietnam,VNM,le,République socialiste du Vietnam,Hanoï,Asie,Asie,geography,1,Capitales,4,vietnam,,,,,,,,,vietnam
Yémen,Yémen,YEM,le,République du Yémen,Sanaa,Asie,Asie,geography,1,Capitales,4,yemen,,,,,,,,,yemen
Zambie,Zambie,ZMB,la,République de Zambie,Lusaka,Afrique,Afrique,geography,1,Capitales,5,zambie,,,,,,,,,zambie
Zimbabwé,Zimbabwé,ZWE,le,République du Zimbabwé,Hararé,Afrique,Afrique,geography,1,Capitales,5,zimbabwe,,,,,,,,,zimbabwe
