NOM,NOM_ALPHA,CODE,ARTICLE,NOM_LONG,CAPITALE,CONTINENT,SUBTHEME,THEME,THEME_LEVEL,CATEGORY,QUIZZ_ordering,FLAG,,,,,,,,,
Congo,Congo,COG,le,République du Congo,Brazzaville,Afrique,Afrique,geography,1,Capitales,2,congo,,,,,,,,,congo
République démocratique du Congo,Congo (République démocratique du),COD,la,République démocratique du Congo,Kinshasa,Afrique,Afrique,geography,1,Capitales,5,république_democratique_congo,,,,,,,,,
Îles Cook,Cook (Îles),COK,les,Îles Cook,Avarua,Oceanie,Iles Pacifiques,geography,2,Capitales,1,iles_cook,,,,,,,,,iles_cook
Corée du Nord,Corée du Nord,PRK,la,République populaire démocratique de Corée,Pyongyang,Asie,Asie,geography,1,Capitales,2,corée_du_nord,,,,,,,,,corée_du_nord
Corée du Sud,Corée du Sud,KOR,la,République de Corée,Séoul,Asie,Asie,geography,1,Capitales,2,coree_du_sud,,,,,,,,,coree_du_sud
Costa Rica,Costa Rica,CRI,le,République du Costa Rica,San José,Amerique,Amérique,geography,1,Capitales,1,costa_rica,,,,,,,,,costa_rica
Côte d'Ivoire,Côte d'Ivoire,CIV,la,République de Côte d'Ivoire,Yamoussoukro,Afrique,Afrique,geography,1,Capitales,2,cote_d_ivoire,,,,,,,,,cote_d_ivoire
Croatie,Croatie,HRV,la,République de Croatie,Zagreb,Europe,Europe,geography,1,Capitales,1,croatie,,,,,,,,,croatie
Cuba,Cuba,CUB,,République de Cuba,La Havane,Amerique,Amérique,geography,1,Capitales,1,cuba,,,,,,,,,cuba
Danemark,Danemark,DNK,le,Royaume du Danemark,Copenhague,Europe,Europe,geography,1,Capitales,1,danemark,,,,,,,,,danemark
Djibouti,Djibouti,DJI,le,République de Djibouti,Djibouti,Afrique,Afrique,geography,1,Capitales,2,djibouti,,,,,,,,,djibouti
République dominicaine,Dominicaine (République),DOM,la,République dominicaine,Saint-Domingue,Amerique,Iles des Caraibes,geography,2,Capitales,1,république_dominicaine,,,,,,,,,
Dominique,Dominique,DMA,la,Commonwealth de la Dominique,Roseau,Amerique,Iles des Caraibes,geography,2,Capitales,1,dominique,,,,,,,,,dominique
Égypte,Égypte,EGY,l',République arabe d'Égypte,Le Caire,Afrique,Afrique,geography,1,Capitales,2,egypte,,,,,,,,,egypte
Émirats arabes unis,Émirats arabes unis,ARE,les,Émirats arabes unis,Abou Dabi,Asie,Asie,geography,1,Capitales,2,emirats_arabes_unis,,,,,,,,,emirats_arabes_unis
Équateur,Équateur,ECU,l',République d'Équateur,Quito,Amerique,Amérique,geography,1,Capitales,1,equateur,,,,,,,,,equateur
Érythrée,Érythrée,ERI,l',État d'Érythrée,Asmara,Afrique,Afrique,geography,1,Capitales,2,erythree,,,,,,,,,erythree
Espagne,Espagne,ESP,l',Royaume d'Espagne,Madrid,Europe,Europe,geography,1,Capitales,2,espagne,,,,,,,,,espagne
Estonie,Estonie,EST,l',République d'Estonie,Tallinn,Europe,Europe,geography,1,Capitales,2,estonie,,,,,,,,,estonie
Eswatini,Eswatini,SWZ,le,Royaume d'Eswatini,Mbabané,Afrique,Afrique,geography,1,Capitales,2,eswatini,,,,,,,,,eswatini
États-Unis,États-Unis,USA,les,États-Unis d'Amérique,Washington,Amerique,Amérique,geography,1,Capitales,1,etats-unis,,,,,,,,,etats-unis
Éthiopie,Éthiopie,ETH,l',République démocratique fédérale d'Éthiopie,Addis Abeba,Afrique,Afrique,geography,1,Capitales,2,ethiopie,,,,,,,,,ethiopie
Fidji,Fidji,FJI,les,République des Fidji,Suva,Oceanie,Iles Pacifiques,geography,2,Capitales,1,fidji,,,,,,,,,fidji
Finlande,Finlande,FIN,la,République de Finlande,Helsinki,Europe,Europe,geography,1,Capitales,2,finlande,,,,,,,,,finlande
France,France,FRA,la,République française,Paris,Europe,Europe,geography,1,Capitales,2,france,,,,,,,,,france
Gabon,Gabon,GAB,le,République gabonaise,Libreville,Afrique,Afrique,geography,1,Capitales,2,gabon,,,,,,,,,gabon
Gambie,Gambie,GMB,la,République de Gambie,Banjul,Afrique,Afrique,geography,1,Capitales,2,gambie,,,,,,,,,gambie
Géorgie,Géorgie,GEO,la,Géorgie,Tbilissi,Asie,Asie,geography,1,Capitales,2,georgie,,,,,,,,,georgie
Ghana,Ghana,GHA,le,République du Ghana,Accra,Afrique,Afrique,geography,1,Capitales,3,ghana,,,,,,,,,ghana
Grèce,Grèce,GRC,la,République hellénique,Athènes,Europe,Europe,geography,1,Capitales,2,grece,,,,,,,,,grece
Grenade,Grenade,GRD,la,Grenade,Saint-Georges,Amerique,Iles des Caraibes,geography,2,Capitales,2,grenade,,,,,,,,,grenade
